machine_id,laundromat_id,laundromat_name,machine_type,machine_size,current_status,status_last_changed,notes
MANH_0713_W03,MANH_0713,Golden French Cleaners,Washer,XLarge,In Use,2025-05-25 20:06:13,
MANH_0713_W04,MANH_0713,Golden French Cleaners,Washer,Large,Available,2025-05-25 19:36:14,
MANH_0713_W05,MANH_0713,Golden French Cleaners,Washer,Large,Available,2025-05-25 16:36:14,
MANH_0713_W06,MANH_0713,Golden French Cleaners,Washer,Medium,Available,2025-05-25 19:51:13,
MANH_0713_W07,MANH_0713,Golden French Cleaners,Washer,XLarge,Available,2025-05-25 19:36:14,
MANH_0713_W08,MANH_0713,Golden French Cleaners,Washer,XLarge,Available,2025-05-25 19:36:14,
MANH_0713_W09,MANH_0713,Golden French Cleaners,Washer,Large,Available,2025-05-25 17:36:13,
MANH_0713_W10,MANH_0713,Golden French Cleaners,Washer,XLarge,Available,2025-05-25 19:51:13,
MANH_0713_D01,MANH_0713,Golden French Cleaners,Dryer,Small,Available,2025-05-25 20:06:13,
MANH_0713_D02,MANH_0713,Golden French Cleaners,Dryer,Medium,Available,2025-05-25 18:36:14,
MANH_0713_D03,MANH_0713,Golden French Cleaners,Dryer,XLarge,In Use,2025-05-25 19:51:13,
MANH_0713_D04,MANH_0713,Golden French Cleaners,Dryer,Small,Available,2025-05-25 5:51:14,
MANH_0713_D05,MANH_0713,Golden French Cleaners,Dryer,XLarge,Available,2025-05-25 16:51:14,
MANH_0713_D06,MANH_0713,Golden French Cleaners,Dryer,XLarge,Available,2025-05-25 19:36:14,
MANH_0713_D07,MANH_0713,Golden French Cleaners,Dryer,Large,Available,2025-05-25 19:36:14,
MANH_0713_D08,MANH_0713,Golden French Cleaners,Dryer,XLarge,In Use,2025-05-25 19:21:13,
MANH_0713_D09,MANH_0713,Golden French Cleaners,Dryer,Medium,Available,2025-05-25 19:06:13,
MANH_0713_D10,MANH_0713,Golden French Cleaners,Dryer,Small,Available,2025-05-25 19:06:13,
MANH_0411_W01,MANH_0411,EFI Cleaners 2,Washer,Large,Available,2025-05-25 18:36:14,
MANH_0411_W02,MANH_0411,EFI Cleaners 2,Washer,XLarge,Available,2025-05-25 19:36:14,
MANH_0411_W03,MANH_0411,EFI Cleaners 2,Washer,Large,Available,2025-05-25 17:36:13,
MANH_0411_W04,MANH_0411,EFI Cleaners 2,Washer,Medium,Available,2025-05-25 20:06:13,
MANH_0411_W05,MANH_0411,EFI Cleaners 2,Washer,Small,Available,2025-05-25 18:51:12,
MANH_0411_W06,MANH_0411,EFI Cleaners 2,Washer,Large,Out of Order,2025-05-25 18:36:14,
MANH_0411_W07,MANH_0411,EFI Cleaners 2,Washer,Large,In Use,2025-05-25 19:36:14,
MANH_0411_W08,MANH_0411,EFI Cleaners 2,Washer,Large,Available,2025-05-25 20:06:13,
MANH_0411_W09,MANH_0411,EFI Cleaners 2,Washer,Medium,Available,2025-05-25 19:36:14,
MANH_0411_W10,MANH_0411,EFI Cleaners 2,Washer,Medium,Available,2025-05-25 17:51:13,
MANH_0411_D01,MANH_0411,EFI Cleaners 2,Dryer,Large,In Use,2025-05-25 19:51:13,
MANH_0411_D02,MANH_0411,EFI Cleaners 2,Dryer,XLarge,In Use,2025-05-25 19:21:13,
MANH_0411_D03,MANH_0411,EFI Cleaners 2,Dryer,XLarge,Available,2025-05-25 14:51:13,
MANH_0411_D04,MANH_0411,EFI Cleaners 2,Dryer,XLarge,Available,2025-05-25 17:21:13,
MANH_0411_D05,MANH_0411,EFI Cleaners 2,Dryer,Medium,Available,2025-05-25 16:36:14,
MANH_0411_D06,MANH_0411,EFI Cleaners 2,Dryer,Large,Available,2025-05-25 19:51:13,
MANH_0411_D07,MANH_0411,EFI Cleaners 2,Dryer,Medium,Out of Order,2025-05-25 16:51:14,
MANH_0411_D08,MANH_0411,EFI Cleaners 2,Dryer,Large,In Use,2025-05-25 19:36:14,
MANH_0411_D09,MANH_0411,EFI Cleaners 2,Dryer,XLarge,Available,2025-05-25 18:21:14,
MANH_0411_D10,MANH_0411,EFI Cleaners 2,Dryer,Large,In Use,2025-05-25 19:36:14,
QUEENS_0839_W01,QUEENS_0839,Laundry 24 h,Washer,Medium,Available,2025-05-25 15:36:13,
QUEENS_0839_W02,QUEENS_0839,Laundry 24 h,Washer,Small,Available,2025-05-25 19:51:13,
QUEENS_0839_W03,QUEENS_0839,Laundry 24 h,Washer,XLarge,Available,2025-05-25 19:36:14,
QUEENS_0839_W04,QUEENS_0839,Laundry 24 h,Washer,Small,In Use,2025-05-25 19:51:13,
QUEENS_0839_W05,QUEENS_0839,Laundry 24 h,Washer,Medium,Available,2025-05-25 17:06:13,
QUEENS_0839_W06,QUEENS_0839,Laundry 24 h,Washer,XLarge,Available,2025-05-25 18:51:12,
QUEENS_0839_W07,QUEENS_0839,Laundry 24 h,Washer,Medium,Available,2025-05-25 16:51:14,
QUEENS_0839_W08,QUEENS_0839,Laundry 24 h,Washer,Small,Available,2025-05-25 20:06:13,
QUEENS_0839_W09,QUEENS_0839,Laundry 24 h,Washer,Large,Available,2025-05-25 18:51:12,
QUEENS_0839_W10,QUEENS_0839,Laundry 24 h,Washer,Small,Available,2025-05-25 18:21:14,
QUEENS_0839_D01,QUEENS_0839,Laundry 24 h,Dryer,XLarge,Available,2025-05-25 14:36:13,
QUEENS_0839_D02,QUEENS_0839,Laundry 24 h,Dryer,Large,Available,2025-05-25 19:06:13,
QUEENS_0839_D03,QUEENS_0839,Laundry 24 h,Dryer,XLarge,Available,2025-05-25 18:36:14,
QUEENS_0839_D04,QUEENS_0839,Laundry 24 h,Dryer,XLarge,Available,2025-05-25 11:36:13,
QUEENS_0839_D05,QUEENS_0839,Laundry 24 h,Dryer,Small,Available,2025-05-25 19:51:13,
QUEENS_0839_D06,QUEENS_0839,Laundry 24 h,Dryer,XLarge,Out of Order,2025-05-25 15:51:13,
QUEENS_0839_D07,QUEENS_0839,Laundry 24 h,Dryer,Large,Available,2025-05-25 19:36:14,
QUEENS_0839_D08,QUEENS_0839,Laundry 24 h,Dryer,Small,Available,2025-05-25 12:51:13,
QUEENS_0839_D09,QUEENS_0839,Laundry 24 h,Dryer,Large,Available,2025-05-25 19:51:13,
QUEENS_0839_D10,QUEENS_0839,Laundry 24 h,Dryer,Large,In Use,2025-05-25 19:51:13,
BKLYN_0960_W01,BKLYN_0960,Nostrand Megawash Inc. 好棒洗衣店,Washer,Medium,Available,2025-05-25 14:21:13,
BKLYN_0960_W02,BKLYN_0960,Nostrand Megawash Inc. 好棒洗衣店,Washer,Medium,Available,2025-05-25 19:36:14,
BKLYN_0960_W03,BKLYN_0960,Nostrand Megawash Inc. 好棒洗衣店,Washer,Large,In Use,2025-05-25 19:51:13,
BKLYN_0960_W04,BKLYN_0960,Nostrand Megawash Inc. 好棒洗衣店,Washer,Medium,Available,2025-05-25 14:21:13,
BKLYN_0960_W05,BKLYN_0960,Nostrand Megawash Inc. 好棒洗衣店,Washer,Large,Available,2025-05-25 12:21:13,
BKLYN_0960_W06,BKLYN_0960,Nostrand Megawash Inc. 好棒洗衣店,Washer,Medium,In Use,2025-05-25 19:36:14,
BKLYN_0960_W07,BKLYN_0960,Nostrand Megawash Inc. 好棒洗衣店,Washer,XLarge,Available,2025-05-25 20:06:13,
BKLYN_0960_W08,BKLYN_0960,Nostrand Megawash Inc. 好棒洗衣店,Washer,XLarge,In Use,2025-05-25 19:36:14,
BKLYN_0960_W09,BKLYN_0960,Nostrand Megawash Inc. 好棒洗衣店,Washer,Large,Available,2025-05-25 19:36:14,
BKLYN_0960_W10,BKLYN_0960,Nostrand Megawash Inc. 好棒洗衣店,Washer,Medium,Available,2025-05-25 16:36:14,
BKLYN_0960_D01,BKLYN_0960,Nostrand Megawash Inc. 好棒洗衣店,Dryer,XLarge,Out of Order,2025-05-25 19:36:14,
BKLYN_0960_D02,BKLYN_0960,Nostrand Megawash Inc. 好棒洗衣店,Dryer,Medium,Available,2025-05-25 19:06:13,
BKLYN_0960_D03,BKLYN_0960,Nostrand Megawash Inc. 好棒洗衣店,Dryer,XLarge,Available,2025-05-25 19:51:13,
BKLYN_0960_D04,BKLYN_0960,Nostrand Megawash Inc. 好棒洗衣店,Dryer,XLarge,Out of Order,2025-05-25 20:06:13,
BKLYN_0960_D05,BKLYN_0960,Nostrand Megawash Inc. 好棒洗衣店,Dryer,Medium,Available,2025-05-25 19:36:14,
BKLYN_0960_D06,BKLYN_0960,Nostrand Megawash Inc. 好棒洗衣店,Dryer,Large,Available,2025-05-25 18:06:12,
BKLYN_0960_D07,BKLYN_0960,Nostrand Megawash Inc. 好棒洗衣店,Dryer,Large,Available,2025-05-25 18:21:14,
BKLYN_0960_D08,BKLYN_0960,Nostrand Megawash Inc. 好棒洗衣店,Dryer,Medium,Available,2025-05-25 16:21:13,
BKLYN_0960_D09,BKLYN_0960,Nostrand Megawash Inc. 好棒洗衣店,Dryer,Medium,In Use,2025-05-25 20:06:13,
BKLYN_0960_D10,BKLYN_0960,Nostrand Megawash Inc. 好棒洗衣店,Dryer,Large,Available,2025-05-25 19:51:13,
MANH_0479_W01,MANH_0479,Laundromat,Washer,Medium,Available,2025-05-25 19:36:14,
MANH_0479_W02,MANH_0479,Laundromat,Washer,Small,Available,2025-05-25 17:06:13,
MANH_0479_W03,MANH_0479,Laundromat,Washer,XLarge,In Use,2025-05-25 20:06:13,
MANH_0479_W04,MANH_0479,Laundromat,Washer,Medium,In Use,2025-05-25 19:36:14,
MANH_0479_W05,MANH_0479,Laundromat,Washer,Medium,In Use,2025-05-25 20:06:13,
MANH_0479_W06,MANH_0479,Laundromat,Washer,Medium,In Use,2025-05-25 19:36:14,
MANH_0479_W07,MANH_0479,Laundromat,Washer,Small,Available,2025-05-25 17:06:13,
MANH_0479_W08,MANH_0479,Laundromat,Washer,XLarge,Available,2025-05-25 15:36:13,
MANH_0479_W09,MANH_0479,Laundromat,Washer,Large,Available,2025-05-25 19:36:14,
MANH_0479_W10,MANH_0479,Laundromat,Washer,Large,Available,2025-05-25 19:51:13,
MANH_0479_D01,MANH_0479,Laundromat,Dryer,Large,Available,2025-05-25 14:51:13,
MANH_0479_D02,MANH_0479,Laundromat,Dryer,XLarge,In Use,2025-05-25 19:51:13,
MANH_0479_D03,MANH_0479,Laundromat,Dryer,Large,In Use,2025-05-25 19:51:13,
MANH_0479_D04,MANH_0479,Laundromat,Dryer,Medium,Out of Order,2025-05-25 15:36:13,
MANH_0479_D05,MANH_0479,Laundromat,Dryer,Large,Available,2025-05-25 19:51:13,
MANH_0479_D06,MANH_0479,Laundromat,Dryer,Large,Available,2025-05-25 15:21:13,
MANH_0479_D07,MANH_0479,Laundromat,Dryer,Medium,Available,2025-05-25 16:21:13,
MANH_0479_D08,MANH_0479,Laundromat,Dryer,Medium,In Use,2025-05-25 19:51:13,
MANH_0479_D09,MANH_0479,Laundromat,Dryer,XLarge,Available,2025-05-25 17:06:13,
MANH_0479_D10,MANH_0479,Laundromat,Dryer,Large,Available,2025-05-25 19:51:13,
BKLYN_0829_W01,BKLYN_0829,Fresh Laundromat,Washer,Large,Available,2025-05-25 18:21:14,
BKLYN_0829_W02,BKLYN_0829,Fresh Laundromat,Washer,Small,Out of Order,2025-05-25 19:21:13,
BKLYN_0829_W03,BKLYN_0829,Fresh Laundromat,Washer,Medium,Available,2025-05-25 19:51:13,
BKLYN_0829_W04,BKLYN_0829,Fresh Laundromat,Washer,XLarge,Out of Order,2025-05-25 20:06:13,
BKLYN_0829_W05,BKLYN_0829,Fresh Laundromat,Washer,Medium,Available,2025-05-25 19:36:14,
BKLYN_0829_W06,BKLYN_0829,Fresh Laundromat,Washer,Medium,In Use,2025-05-25 19:51:13,
BKLYN_0829_W07,BKLYN_0829,Fresh Laundromat,Washer,Small,Available,2025-05-25 19:36:14,
BKLYN_0829_W08,BKLYN_0829,Fresh Laundromat,Washer,Large,Available,2025-05-25 18:21:14,
BKLYN_0829_W09,BKLYN_0829,Fresh Laundromat,Washer,XLarge,Available,2025-05-25 18:36:14,
BKLYN_0829_W10,BKLYN_0829,Fresh Laundromat,Washer,Large,In Use,2025-05-25 20:06:13,
BKLYN_0829_D01,BKLYN_0829,Fresh Laundromat,Dryer,Large,Available,2025-05-25 19:51:13,
BKLYN_0829_D02,BKLYN_0829,Fresh Laundromat,Dryer,Small,Available,2025-05-25 18:36:14,
BKLYN_0829_D03,BKLYN_0829,Fresh Laundromat,Dryer,Small,Available,2025-05-25 13:21:15,
BKLYN_0829_D04,BKLYN_0829,Fresh Laundromat,Dryer,Small,In Use,2025-05-25 19:51:13,
BKLYN_0829_D05,BKLYN_0829,Fresh Laundromat,Dryer,Medium,Available,2025-05-25 20:06:13,
BKLYN_0829_D06,BKLYN_0829,Fresh Laundromat,Dryer,Medium,Available,2025-05-25 14:36:13,
BKLYN_0829_D07,BKLYN_0829,Fresh Laundromat,Dryer,XLarge,Available,2025-05-25 18:36:14,
BKLYN_0829_D08,BKLYN_0829,Fresh Laundromat,Dryer,Small,In Use,2025-05-25 19:36:14,
BKLYN_0829_D09,BKLYN_0829,Fresh Laundromat,Dryer,Small,Available,2025-05-25 16:21:13,
BKLYN_0829_D10,BKLYN_0829,Fresh Laundromat,Dryer,Small,Available,2025-05-25 20:06:13,
QUEENS_0818_W01,QUEENS_0818,Hill Laundromat,Washer,XLarge,Available,2025-05-25 17:06:13,
QUEENS_0818_W02,QUEENS_0818,Hill Laundromat,Washer,Large,Available,2025-05-25 11:51:13,
QUEENS_0818_W03,QUEENS_0818,Hill Laundromat,Washer,Medium,Available,2025-05-25 15:36:13,
QUEENS_0818_W04,QUEENS_0818,Hill Laundromat,Washer,Medium,Available,2025-05-25 19:36:14,
QUEENS_0818_W05,QUEENS_0818,Hill Laundromat,Washer,Small,Available,2025-05-25 15:06:14,
QUEENS_0818_W06,QUEENS_0818,Hill Laundromat,Washer,Medium,Available,2025-05-25 20:06:13,
QUEENS_0818_W07,QUEENS_0818,Hill Laundromat,Washer,Small,Available,2025-05-25 9:51:15,
QUEENS_0818_W08,QUEENS_0818,Hill Laundromat,Washer,Large,Out of Order,2025-05-25 10:21:15,
QUEENS_0818_W09,QUEENS_0818,Hill Laundromat,Washer,Large,Available,2025-05-25 18:21:14,
QUEENS_0818_W10,QUEENS_0818,Hill Laundromat,Washer,Medium,In Use,2025-05-25 20:06:13,
QUEENS_0818_D01,QUEENS_0818,Hill Laundromat,Dryer,Large,Available,2025-05-25 19:36:14,
QUEENS_0818_D02,QUEENS_0818,Hill Laundromat,Dryer,Medium,Available,2025-05-25 18:36:14,
QUEENS_0818_D03,QUEENS_0818,Hill Laundromat,Dryer,Medium,Available,2025-05-25 20:06:13,
QUEENS_0818_D04,QUEENS_0818,Hill Laundromat,Dryer,Medium,In Use,2025-05-25 20:06:13,
QUEENS_0818_D05,QUEENS_0818,Hill Laundromat,Dryer,Medium,In Use,2025-05-25 19:21:13,
QUEENS_0818_D06,QUEENS_0818,Hill Laundromat,Dryer,Medium,Available,2025-05-25 17:21:13,
QUEENS_0818_D07,QUEENS_0818,Hill Laundromat,Dryer,Large,Available,2025-05-25 19:06:13,
QUEENS_0818_D08,QUEENS_0818,Hill Laundromat,Dryer,Medium,Available,2025-05-25 20:06:13,
QUEENS_0818_D09,QUEENS_0818,Hill Laundromat,Dryer,Medium,Available,2025-05-25 19:36:14,
QUEENS_0818_D10,QUEENS_0818,Hill Laundromat,Dryer,Large,Available,2025-05-25 18:21:14,
BRONX_0276_W01,BRONX_0276,G.A.v laundromat,Washer,Large,Available,2025-05-25 20:06:13,
BRONX_0276_W02,BRONX_0276,G.A.v laundromat,Washer,Medium,Available,2025-05-25 19:36:14,
BRONX_0276_W03,BRONX_0276,G.A.v laundromat,Washer,XLarge,Available,2025-05-25 20:06:13,
BRONX_0276_W04,BRONX_0276,G.A.v laundromat,Washer,Small,Available,2025-05-25 19:36:14,
BRONX_0276_W05,BRONX_0276,G.A.v laundromat,Washer,Large,Out of Order,2025-05-25 18:36:14,
BRONX_0276_W06,BRONX_0276,G.A.v laundromat,Washer,XLarge,Available,2025-05-25 18:36:14,
BRONX_0276_W07,BRONX_0276,G.A.v laundromat,Washer,Small,In Use,2025-05-25 20:06:13,
BRONX_0276_W08,BRONX_0276,G.A.v laundromat,Washer,Small,Available,2025-05-25 19:51:13,
BRONX_0276_W09,BRONX_0276,G.A.v laundromat,Washer,Small,In Use,2025-05-25 19:51:13,
BRONX_0276_W10,BRONX_0276,G.A.v laundromat,Washer,Medium,Available,2025-05-25 19:51:13,
BRONX_0276_D01,BRONX_0276,G.A.v laundromat,Dryer,Small,Available,2025-05-25 20:06:13,
BRONX_0276_D02,BRONX_0276,G.A.v laundromat,Dryer,Medium,In Use,2025-05-25 19:21:13,
BRONX_0276_D03,BRONX_0276,G.A.v laundromat,Dryer,Large,Out of Order,2025-05-25 19:21:13,
BRONX_0276_D04,BRONX_0276,G.A.v laundromat,Dryer,XLarge,Available,2025-05-25 18:21:14,
BRONX_0276_D05,BRONX_0276,G.A.v laundromat,Dryer,Large,Available,2025-05-25 18:21:14,
BRONX_0276_D06,BRONX_0276,G.A.v laundromat,Dryer,Small,Available,2025-05-25 19:51:13,
BRONX_0276_D07,BRONX_0276,G.A.v laundromat,Dryer,XLarge,Available,2025-05-25 15:51:13,
BRONX_0276_D08,BRONX_0276,G.A.v laundromat,Dryer,Small,Available,2025-05-25 15:36:13,
BRONX_0276_D09,BRONX_0276,G.A.v laundromat,Dryer,XLarge,In Use,2025-05-25 19:51:13,
BRONX_0276_D10,BRONX_0276,G.A.v laundromat,Dryer,Large,Available,2025-05-25 18:36:14,
QUEENS_0114_W01,QUEENS_0114,In Lucky Laundromat,Washer,Medium,Available,2025-05-25 15:36:13,
QUEENS_0114_W02,QUEENS_0114,In Lucky Laundromat,Washer,Small,Available,2025-05-25 19:21:13,
QUEENS_0114_W03,QUEENS_0114,In Lucky Laundromat,Washer,XLarge,Available,2025-05-25 19:51:13,
QUEENS_0114_W04,QUEENS_0114,In Lucky Laundromat,Washer,XLarge,In Use,2025-05-25 20:06:13,
QUEENS_0114_W05,QUEENS_0114,In Lucky Laundromat,Washer,Small,Available,2025-05-25 15:06:14,
QUEENS_0114_W06,QUEENS_0114,In Lucky Laundromat,Washer,XLarge,In Use,2025-05-25 20:06:13,
QUEENS_0114_W07,QUEENS_0114,In Lucky Laundromat,Washer,Large,Available,2025-05-25 19:51:13,
QUEENS_0114_W08,QUEENS_0114,In Lucky Laundromat,Washer,Large,Available,2025-05-25 19:36:14,
QUEENS_0114_W09,QUEENS_0114,In Lucky Laundromat,Washer,Large,Available,2025-05-25 17:51:13,
QUEENS_0114_W10,QUEENS_0114,In Lucky Laundromat,Washer,XLarge,Available,2025-05-25 18:51:12,
QUEENS_0114_D01,QUEENS_0114,In Lucky Laundromat,Dryer,Small,Available,2025-05-25 19:36:14,
QUEENS_0114_D02,QUEENS_0114,In Lucky Laundromat,Dryer,Medium,Available,2025-05-25 8:51:14,
QUEENS_0114_D03,QUEENS_0114,In Lucky Laundromat,Dryer,Small,Available,2025-05-25 19:36:14,
QUEENS_0114_D04,QUEENS_0114,In Lucky Laundromat,Dryer,Large,In Use,2025-05-25 19:36:14,
QUEENS_0114_D05,QUEENS_0114,In Lucky Laundromat,Dryer,XLarge,Out of Order,2025-05-25 17:36:13,
QUEENS_0114_D06,QUEENS_0114,In Lucky Laundromat,Dryer,Small,Available,2025-05-25 19:06:13,
QUEENS_0114_D07,QUEENS_0114,In Lucky Laundromat,Dryer,Medium,Available,2025-05-25 18:36:14,
QUEENS_0114_D08,QUEENS_0114,In Lucky Laundromat,Dryer,Large,Available,2025-05-25 17:51:13,
QUEENS_0114_D09,QUEENS_0114,In Lucky Laundromat,Dryer,Small,Available,2025-05-25 19:51:13,
QUEENS_0114_D10,QUEENS_0114,In Lucky Laundromat,Dryer,Medium,Available,2025-05-25 17:51:13,
QUEENS_0841_W01,QUEENS_0841,College Point Best Dry Cleaner,Washer,Large,Available,2025-05-25 19:36:14,
QUEENS_0841_W02,QUEENS_0841,College Point Best Dry Cleaner,Washer,XLarge,Available,2025-05-25 17:51:13,
QUEENS_0841_W03,QUEENS_0841,College Point Best Dry Cleaner,Washer,Medium,Available,2025-05-25 18:21:14,
QUEENS_0841_W04,QUEENS_0841,College Point Best Dry Cleaner,Washer,XLarge,Available,2025-05-25 15:36:13,
QUEENS_0841_W05,QUEENS_0841,College Point Best Dry Cleaner,Washer,Medium,In Use,2025-05-25 20:06:13,
QUEENS_0841_W06,QUEENS_0841,College Point Best Dry Cleaner,Washer,Small,In Use,2025-05-25 19:36:14,
QUEENS_0841_W07,QUEENS_0841,College Point Best Dry Cleaner,Washer,Large,Available,2025-05-25 15:06:14,
QUEENS_0841_W08,QUEENS_0841,College Point Best Dry Cleaner,Washer,Small,In Use,2025-05-25 19:36:14,
QUEENS_0841_W09,QUEENS_0841,College Point Best Dry Cleaner,Washer,Small,Available,2025-05-25 19:36:14,
QUEENS_0841_W10,QUEENS_0841,College Point Best Dry Cleaner,Washer,XLarge,Out of Order,2025-05-25 18:36:14,
QUEENS_0841_D01,QUEENS_0841,College Point Best Dry Cleaner,Dryer,Medium,In Use,2025-05-25 20:06:13,
QUEENS_0841_D02,QUEENS_0841,College Point Best Dry Cleaner,Dryer,Large,In Use,2025-05-25 19:36:14,
QUEENS_0841_D03,QUEENS_0841,College Point Best Dry Cleaner,Dryer,Large,Available,2025-05-25 19:51:13,
QUEENS_0841_D04,QUEENS_0841,College Point Best Dry Cleaner,Dryer,Medium,Out of Order,2025-05-25 16:51:14,
QUEENS_0841_D05,QUEENS_0841,College Point Best Dry Cleaner,Dryer,Small,In Use,2025-05-25 19:36:14,
QUEENS_0841_D06,QUEENS_0841,College Point Best Dry Cleaner,Dryer,XLarge,Available,2025-05-25 18:06:12,
QUEENS_0841_D07,QUEENS_0841,College Point Best Dry Cleaner,Dryer,Medium,In Use,2025-05-25 20:06:13,
QUEENS_0841_D08,QUEENS_0841,College Point Best Dry Cleaner,Dryer,XLarge,Available,2025-05-25 19:51:13,
QUEENS_0841_D09,QUEENS_0841,College Point Best Dry Cleaner,Dryer,Medium,Available,2025-05-25 19:36:14,
QUEENS_0841_D10,QUEENS_0841,College Point Best Dry Cleaner,Dryer,XLarge,In Use,2025-05-25 19:36:14,
QUEENS_0929_W01,QUEENS_0929,Unique Dry Clean Inc.,Washer,Large,Available,2025-05-25 16:21:13,
QUEENS_0929_W02,QUEENS_0929,Unique Dry Clean Inc.,Washer,Medium,Available,2025-05-25 16:51:14,
QUEENS_0929_W03,QUEENS_0929,Unique Dry Clean Inc.,Washer,Small,Available,2025-05-25 17:51:13,
QUEENS_0929_W04,QUEENS_0929,Unique Dry Clean Inc.,Washer,Small,Out of Order,2025-05-25 17:36:13,
QUEENS_0929_W05,QUEENS_0929,Unique Dry Clean Inc.,Washer,Small,Available,2025-05-25 16:21:13,
QUEENS_0929_W06,QUEENS_0929,Unique Dry Clean Inc.,Washer,Medium,Available,2025-05-25 19:36:14,
QUEENS_0929_W07,QUEENS_0929,Unique Dry Clean Inc.,Washer,Small,Available,2025-05-25 12:36:13,
QUEENS_0929_W08,QUEENS_0929,Unique Dry Clean Inc.,Washer,XLarge,In Use,2025-05-25 20:06:13,
QUEENS_0929_W09,QUEENS_0929,Unique Dry Clean Inc.,Washer,Large,Available,2025-05-25 19:36:14,
QUEENS_0929_W10,QUEENS_0929,Unique Dry Clean Inc.,Washer,XLarge,Available,2025-05-25 20:06:13,
QUEENS_0929_D01,QUEENS_0929,Unique Dry Clean Inc.,Dryer,XLarge,Available,2025-05-25 19:51:13,
QUEENS_0929_D02,QUEENS_0929,Unique Dry Clean Inc.,Dryer,XLarge,In Use,2025-05-25 19:51:13,
QUEENS_0929_D03,QUEENS_0929,Unique Dry Clean Inc.,Dryer,Small,In Use,2025-05-25 20:06:13,
QUEENS_0929_D04,QUEENS_0929,Unique Dry Clean Inc.,Dryer,Small,Available,2025-05-25 16:21:13,
QUEENS_0929_D05,QUEENS_0929,Unique Dry Clean Inc.,Dryer,XLarge,Available,2025-05-25 19:51:13,
QUEENS_0929_D06,QUEENS_0929,Unique Dry Clean Inc.,Dryer,Medium,Available,2025-05-25 19:06:13,
QUEENS_0929_D07,QUEENS_0929,Unique Dry Clean Inc.,Dryer,Medium,Available,2025-05-25 15:06:14,
QUEENS_0929_D08,QUEENS_0929,Unique Dry Clean Inc.,Dryer,Medium,Available,2025-05-25 10:36:13,
QUEENS_0929_D09,QUEENS_0929,Unique Dry Clean Inc.,Dryer,Medium,Available,2025-05-25 15:51:13,
QUEENS_0929_D10,QUEENS_0929,Unique Dry Clean Inc.,Dryer,Medium,In Use,2025-05-25 19:21:13,
MANH_0257_W01,MANH_0257,Miss Bubble Laundromat,Washer,XLarge,Out of Order,2025-05-25 15:06:14,
MANH_0257_W02,MANH_0257,Miss Bubble Laundromat,Washer,XLarge,Available,2025-05-25 18:21:14,
MANH_0257_W03,MANH_0257,Miss Bubble Laundromat,Washer,Small,Available,2025-05-25 20:06:13,
MANH_0257_W04,MANH_0257,Miss Bubble Laundromat,Washer,XLarge,Available,2025-05-25 19:36:14,
